gene,annotation,loeuf_quintile,analysis_stratum,case_count,case_rate,N
SYNTHETIC_GENE_001,PTV_like,1,LOEUF1_mu2,1,1.48914082552773e-05,15000
SYNTHETIC_GENE_002,PTV_like,2,LOEUF2,3,2.58999013333233e-05,15000
SYNTHETIC_GENE_003,PTV_like,3,LOEUF3,1,1.15653751381668e-05,15000
SYNTHETIC_GENE_004,PTV_like,4,LOEUF4,0,1.59698712400296e-05,15000
SYNTHETIC_GENE_005,PTV_like,5,LOEUF5,0,9.08242072635857e-06,15000
SYNTHETIC_GENE_006,PTV_like,1,LOEUF1_mu2,1,1.24224735206106e-05,15000
SYNTHETIC_GENE_007,PTV_like,2,LOEUF2,0,7.79209068274467e-06,15000
SYNTHETIC_GENE_008,PTV_like,3,LOEUF3,0,1.40424242891145e-05,15000
SYNTHETIC_GENE_009,PTV_like,4,LOEUF4,0,9.24284396115326e-06,15000
SYNTHETIC_GENE_010,PTV_like,5,LOEUF5,1,2.18053532623465e-05,15000
SYNTHETIC_GENE_011,PTV_like,1,LOEUF1_mu2,0,1.10958363934315e-05,15000
SYNTHETIC_GENE_012,PTV_like,2,LOEUF2,1,1.78266891978594e-05,15000
SYNTHETIC_GENE_013,PTV_like,3,LOEUF3,1,2.36109552869283e-05,15000
SYNTHETIC_GENE_014,PTV_like,4,LOEUF4,0,6.47146103977989e-06,15000
SYNTHETIC_GENE_015,PTV_like,5,LOEUF5,0,3.16385020490147e-05,15000
SYNTHETIC_GENE_016,PTV_like,1,LOEUF1_mu2,0,3.98328632550721e-06,15000
SYNTHETIC_GENE_017,PTV_like,2,LOEUF2,1,1.29305468882399e-05,15000
SYNTHETIC_GENE_018,PTV_like,3,LOEUF3,0,1.01633213491586e-05,15000
SYNTHETIC_GENE_019,PTV_like,4,LOEUF4,0,1.55695262530021e-05,15000
SYNTHETIC_GENE_020,PTV_like,5,LOEUF5,1,1.08928765737285e-05,15000
SYNTHETIC_GENE_021,PTV_like,1,LOEUF1_mu2,0,1.53033182948318e-05,15000
SYNTHETIC_GENE_022,PTV_like,2,LOEUF2,0,1.3224766191244e-05,15000
SYNTHETIC_GENE_023,PTV_like,3,LOEUF3,0,7.77471509381294e-06,15000
SYNTHETIC_GENE_024,PTV_like,4,LOEUF4,2,1.17090901460175e-05,15000
SYNTHETIC_GENE_025,PTV_like,5,LOEUF5,0,1.93291212456677e-05,15000
SYNTHETIC_GENE_026,PTV_like,1,LOEUF1_mu2,1,1.12125730467157e-05,15000
SYNTHETIC_GENE_027,PTV_like,2,LOEUF2,2,2.67837956841831e-05,15000
SYNTHETIC_GENE_028,PTV_like,3,LOEUF3,0,9.48239017168678e-06,15000
SYNTHETIC_GENE_029,PTV_like,4,LOEUF4,0,6.29865154002228e-06,15000
SYNTHETIC_GENE_030,PTV_like,5,LOEUF5,1,1.95687072892986e-05,15000
SYNTHETIC_GENE_031,PTV_like,1,LOEUF1_mu2,0,1.48711154660741e-05,15000
SYNTHETIC_GENE_032,PTV_like,2,LOEUF2,0,9.61445488233109e-06,15000
SYNTHETIC_GENE_033,PTV_like,3,LOEUF3,0,4.03546290274584e-06,15000
SYNTHETIC_GENE_034,PTV_like,4,LOEUF4,0,1.52728227075659e-05,15000
SYNTHETIC_GENE_035,PTV_like,5,LOEUF5,2,1.10641981948732e-05,15000
SYNTHETIC_GENE_036,PTV_like,1,LOEUF1_mu1,0,3.00885203504937e-05,15000
SYNTHETIC_GENE_037,PTV_like,2,LOEUF2,0,6.09720171693665e-06,15000
SYNTHETIC_GENE_038,PTV_like,3,LOEUF3,0,1.48695659881738e-05,15000
SYNTHETIC_GENE_039,PTV_like,4,LOEUF4,1,1.00375564618651e-05,15000
SYNTHETIC_GENE_040,PTV_like,5,LOEUF5,0,9.44063189194587e-06,15000
SYNTHETIC_GENE_041,PTV_like,1,LOEUF1_mu2,1,7.85723575342044e-06,15000
SYNTHETIC_GENE_042,PTV_like,2,LOEUF2,0,1.84320125672902e-05,15000
SYNTHETIC_GENE_043,PTV_like,3,LOEUF3,2,9.32979932931265e-06,15000
SYNTHETIC_GENE_044,PTV_like,4,LOEUF4,0,8.69173587899989e-06,15000
SYNTHETIC_GENE_045,PTV_like,5,LOEUF5,0,2.1062777228353e-05,15000
SYNTHETIC_GENE_046,PTV_like,1,LOEUF1_mu2,0,1.49123576996767e-05,15000
SYNTHETIC_GENE_047,PTV_like,2,LOEUF2,0,1.19201699170233e-05,15000
SYNTHETIC_GENE_048,PTV_like,3,LOEUF3,0,1.68599200630507e-05,15000
SYNTHETIC_GENE_049,PTV_like,4,LOEUF4,0,7.19627536271192e-06,15000
SYNTHETIC_GENE_050,PTV_like,5,LOEUF5,0,2.09213608729743e-05,15000
SYNTHETIC_GENE_051,PTV_like,1,LOEUF1_mu1,0,2.25026720343729e-05,15000
SYNTHETIC_GENE_052,PTV_like,2,LOEUF2,1,2.03095574250277e-05,15000
SYNTHETIC_GENE_053,PTV_like,3,LOEUF3,0,1.30191259273541e-05,15000
SYNTHETIC_GENE_054,PTV_like,4,LOEUF4,1,1.26890985773586e-05,15000
SYNTHETIC_GENE_055,PTV_like,5,LOEUF5,1,1.96095010901268e-05,15000
SYNTHETIC_GENE_056,PTV_like,1,LOEUF1_mu1,0,3.11942802584865e-05,15000
SYNTHETIC_GENE_057,PTV_like,2,LOEUF2,1,1.34535073299596e-05,15000
SYNTHETIC_GENE_058,PTV_like,3,LOEUF3,1,7.17685788462602e-06,15000
SYNTHETIC_GENE_059,PTV_like,4,LOEUF4,1,9.15994997221858e-06,15000
SYNTHETIC_GENE_060,PTV_like,5,LOEUF5,3,1.70186750586996e-05,15000
SYNTHETIC_GENE_061,PTV_like,1,LOEUF1_mu2,0,2.07885716615036e-05,15000
SYNTHETIC_GENE_062,PTV_like,2,LOEUF2,0,1.41249244286838e-05,15000
SYNTHETIC_GENE_063,PTV_like,3,LOEUF3,0,1.60328920619629e-05,15000
SYNTHETIC_GENE_064,PTV_like,4,LOEUF4,0,8.69759204787873e-06,15000
SYNTHETIC_GENE_065,PTV_like,5,LOEUF5,1,2.33541867701893e-05,15000
SYNTHETIC_GENE_066,PTV_like,1,LOEUF1_mu2,0,1.12864734129194e-05,15000
SYNTHETIC_GENE_067,PTV_like,2,LOEUF2,1,1.42861747254364e-05,15000
SYNTHETIC_GENE_068,PTV_like,3,LOEUF3,1,2.28363918649581e-05,15000
SYNTHETIC_GENE_069,PTV_like,4,LOEUF4,0,1.33360432159947e-05,15000
SYNTHETIC_GENE_070,PTV_like,5,LOEUF5,0,1.3202797256909e-05,15000
SYNTHETIC_GENE_071,PTV_like,1,LOEUF1_mu2,1,1.64433999599905e-05,15000
SYNTHETIC_GENE_072,PTV_like,2,LOEUF2,1,1.70907365886847e-05,15000
SYNTHETIC_GENE_073,PTV_like,3,LOEUF3,1,1.40375039210765e-05,15000
SYNTHETIC_GENE_074,PTV_like,4,LOEUF4,0,1.74701978793693e-05,15000
SYNTHETIC_GENE_075,PTV_like,5,LOEUF5,0,1.5728360216822e-05,15000
SYNTHETIC_GENE_076,PTV_like,1,LOEUF1_mu2,0,1.34082045246829e-05,15000
