gene_id,gene_symbol,chromosome,loeuf,loeuf_quintile,analysis_stratum,mutation_rate_correction,mu_snp_PTV,mu_snp_Mis2,mu_snp_Mis1,mu_snp_Mis0,mu_snp_Syn,corrected_mu_snp_PTV,corrected_mu_snp_Mis2,corrected_mu_snp_Mis1,corrected_mu_snp_Mis0,corrected_mu_snp_Syn
ENSG00000000419,DPM1,20,0.873,3,LOEUF3,1.04803617886868,1.091e-06,6.209e-07,1.4174e-06,5.625e-06,2.718e-06,1.14340747114573e-06,6.50725663459561e-07,1.48548647992846e-06,5.8952035061363e-06,2.84856233416506e-06
ENSG00000000457,SCYL3,1,0.421,1,LOEUF1_mu2,0.925080692973224,1.8674e-06,2.2396e-07,8.5486e-07,1.8119e-05,7.7512e-06,1.7274956860582e-06,2.07181071998283e-07,7.9081448119509e-07,1.67615370759819e-05,7.17048546737405e-06
ENSG00000000460,C1orf112,1,0.73,2,LOEUF2,0.944373437060681,3.1963e-06,0,1.2999e-07,2.0405e-05,8.1294e-06,3.01850081687706e-06,0,1.22759103083518e-07,1.92699399832232e-05,7.6771894192411e-06
ENSG00000000938,FGR,1,0.425,2,LOEUF2,0.987866955516049,1.7876e-06,8.3279e-07,6.4661e-06,1.0724e-05,8.1914e-06,1.76591096968049e-06,8.22685721884211e-07,6.38764652106233e-06,1.05938852309541e-05,8.09201337941417e-06
ENSG00000000971,CFH,1,0.324,1,LOEUF1_mu1,1.02389620364894,3.747e-06,0,1.867e-06,3.1436e-05,1.1618e-05,3.83653907507258e-06,0,1.91161421221257e-06,3.21872010579081e-05,1.18956260939934e-05
ENSG00000001036,FUCA2,6,0.902,3,LOEUF3,0.99054844243253,1.3718e-06,4.116e-08,4.0087e-07,1.2083e-05,5.1832e-06,1.35883435332894e-06,4.07709738905229e-08,3.97081154117928e-07,1.19687968299123e-05,5.13421068681629e-06
ENSG00000001084,GCLC,6,0.401,1,LOEUF1_mu2,0.998997308275062,2.3738e-06,1.8211e-06,3.4075e-06,1.1953e-05,6.5063e-06,2.37141981038334e-06,1.81927399809971e-06,3.40408332794727e-06,1.19410148258118e-05,6.49977618683003e-06
ENSG00000001167,NFYA,6,0.509,2,LOEUF2,0.955713762310787,1.6353e-06,2.7284e-06,2.5999e-06,4.6753e-06,3.5797e-06,1.56287871550683e-06,2.60756942908875e-06,2.48476021063182e-06,4.46824855293162e-06,3.42116855494392e-06
ENSG00000001460,STPG1,1,1.339,4,LOEUF4,0.951515619158742,1.1141e-06,0,4.4989e-08,1.1189e-05,5.4419e-06,1.06008355130475e-06,0,4.28077361903326e-08,1.06465082627672e-05,5.17805284789996e-06
ENSG00000001461,NIPAL3,1,0.844,3,LOEUF3,0.930883557590889,1.2897e-06,8.1578e-09,8.232e-07,1.4135e-05,7.9651e-06,1.20056052422497e-06,7.59396188611495e-09,7.6630334460882e-07,1.31580390865472e-05,7.41458062456719e-06
ENSG00000001561,ENPP4,6,0.66,2,LOEUF2,0.939842914287714,8.7773e-07,6.2462e-08,1.0656e-06,1.0264e-05,4.5575e-06,8.24928321157755e-07,5.87044681122392e-08,1.00149660946499e-06,9.6465476722491e-06,4.28333408186626e-06
ENSG00000001617,SEMA3F,3,0.219,1,LOEUF1_mu1,0.899716560739542,3.325e-06,3.8345e-06,7.0979e-06,2.9753e-05,1.7047e-05,2.99155756445898e-06,3.44996315215577e-06,6.3860981764732e-06,2.67692668316836e-05,1.5337468210927e-05
ENSG00000001626,CFTR,7,1.307,4,LOEUF4,0.941268351295533,4.5845e-06,0,1.406e-06,3.5739e-05,1.4668e-05,4.31524475651437e-06,0,1.32342330192152e-06,3.3639989606951e-05,1.38065241768029e-05
ENSG00000001629,ANKIB1,7,0.207,1,LOEUF1_mu1,0.914613317903168,3.4478e-06,4.691e-06,7.6176e-06,1.9214e-05,1.0336e-05,3.15340379746654e-06,4.29045107428376e-06,6.96715841045917e-06,1.75733802901915e-05,9.45344325384715e-06
